Game ID,Result
4905998,2.4x
4905999,2.19x
4906000,1.23x
4906001,2.65x
4906002,2.43x
4906003,1.15x
4906004,1.79x
4906005,1.65x
4906006,1.48x
4906007,1.31x
4906008,5.2x
4906009,2.22x
4906010,1.28x
4906011,1.64x
4906012,1x
4906013,1.57x
4906014,1.01x
4906015,1.52x
4906016,4.28x
4906017,1.3x
4906018,1.59x
4906019,3.03x
4906020,1.37x
4906021,52.97x
4906022,1.3x
4906023,5.28x
4906024,10.61x
4906025,3.24x
4906026,2.38x
4906027,2.61x
4906028,1.8x
4906029,136.86x
4906030,1.27x
4906031,1.65x
4906032,2.01x
4906033,1x
4906034,1.88x
4906035,5.69x
4906036,1.36x
4906037,1.61x
4906038,9.57x
4906039,1.85x
4906040,5.77x
4906041,2.89x
4906042,2.39x
4906043,1.06x
4906044,33.65x
4906045,15.96x
4906046,2.37x
4906047,4.89x
4906048,1.04x
4906049,1.29x
4906050,1.1x
4906051,1.36x
4906052,1.24x
4906053,4.41x
4906054,1.17x
4906055,1.49x
4906056,1.01x
4906057,1.09x
4906058,1.36x
4906059,3.21x
4906060,1.61x
4906061,1.05x
4906062,1.03x
4906063,1.51x
4906064,1.26x
4906065,5.36x
4906066,5.52x
4906067,2.67x
4906068,1.49x
4906069,2.94x
4906070,2.03x
4906071,2.32x
4906072,4.4x
4906073,1.4x
4906074,1.17x
4906075,1.16x
4906076,2255.06x
4906077,3.24x
4906078,1.54x
4906079,2.12x
4906080,7.83x
4906081,1.45x
4906082,1.66x
4906083,1.13x
4906084,1.61x
4906085,1.29x
4906086,2.13x
4906087,1.33x
4906088,2.04x
4906089,3.71x
4906090,2.18x
4906091,1.78x
4906092,3.2x
4906093,44.09x
4906094,1.15x
4906095,2.21x
4906096,16.39x
4906097,1.07x
4906098,1.25x
4906099,1x
4906100,12.09x
4906101,1.4x
4906102,1.06x
4906103,11.01x
4906104,1.29x
4906105,1.15x
4906106,1.5x
4906107,1.6x
4906108,1.66x
4906109,4.95x
4906110,11.93x
4906111,1.06x
4906112,2.39x
4906113,2.14x
4906114,1.03x
4906115,6.78x
4906116,2.46x
4906117,1.19x
4906118,6.97x
4906119,3.16x
